society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_3_beds_10_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-51573106-15703-1.html,1.0,2.55,10.0,2720.0,1.0,1.0,1.0,9375.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_brand_new_3_beds_11_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-51732017-15703-1.html,1.0,2.95,11.0,2992.0,1.0,2.0,1.0,9859.625668449198,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_10_marla_3_bed_apartment_for_sale_in_askri_11_at_marcopolo_tower-53454486-1503-1.html,8.0,2.9,10.0,2720.0,1.0,1.0,1.0,10661.764705882351,1,1,1,1,1,0,0,0,0,0,147.0,39,1.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_11_fully_furnished_12_marla_adorable_1st_floor_apartment_on_top_location_for_sale_in_askari_11_near_phase_6_dha_lahore-53971532-1503-1.html,8.0,4.45,12.0,3264.0,0.0,1.0,0.0,13633.578431372547,1,1,1,1,1,1,1,0,1,1,184.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_askari_11_special_building_13_marla_4_bed_flat_for_sale_in_askari_11_lahore-27451122-1503-1.html,8.0,4.25,13.0,3536.0,1.0,1.0,1.0,12019.23076923077,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_brand_new_12_marla_4_bed_flat_near_to_mosque_with_open_view_urgent_for_sale-53972379-21434-1.html,9.0,4.45,12.0,3264.0,1.0,1.0,1.0,13633.578431372547,1,1,1,1,1,1,1,1,1,0,154.0,37,4.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_askari_11_brand_new_3_beds_10_marla_ideal_location_apartment_for_sale_in_sector_d_askari_11_lahore-52665498-1503-1.html,8.0,3.98,10.0,2720.0,1.0,1.0,1.0,14632.35294117647,1,1,0,0,1,0,0,0,0,0,65.0,22,8.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_brand_new_3_beds_11_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-53598587-15702-1.html,8.0,3.0,11.0,2992.0,0.0,2.0,0.0,10026.737967914438,1,1,0,0,1,1,0,0,0,0,86.0,47,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_3_beds_10_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-53736166-15702-1.html,8.0,2.7,10.0,2720.0,1.0,2.0,0.0,9926.470588235294,0,1,0,0,0,1,0,0,0,0,56.0,9,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_3_beds_10_marla_ideal_location_apartment_for_sale_in_sector_b_askari_11_lahore-53736109-15702-1.html,8.0,2.6,10.0,2720.0,1.0,2.0,0.0,9558.823529411764,1,1,1,1,1,1,1,1,1,1,131.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_brand_new_4_bed_flat_near_to_mosque_with_open_view_urgent_for_sale-53972250-21434-1.html,8.0,4.4,12.0,3264.0,1.0,1.0,1.0,13480.392156862745,1,1,1,1,1,1,1,1,1,0,154.0,37,4.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_10_11_marla_3_bedroom_modern_apartment_with_spectacular_view_available_for_sale-53041071-1011-1.html,9.0,3.25,11.0,2992.0,1.0,1.0,1.0,10862.29946524064,1,1,1,1,1,1,1,1,1,1,178.0,49,4.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_askari_11_11_marla_modern_3-bedroom_apartment_with_spectacular_view_for_sale_askari_11_lahore-53242179-1503-1.html,8.0,3.45,11.0,2992.0,0.0,1.0,0.0,11530.748663101604,0,0,0,0,0,0,0,0,0,0,59.0,22,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_brand_new_apartment_available_for_sale_in_askari_11_sec-d_lahore-53888922-21437-1.html,8.0,3.8,10.0,2720.0,1.0,1.0,1.0,13970.588235294115,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_3_bed_flat_available_for_sale_with_gas_in_askari_11_sec_d-53723290-21437-1.html,9.0,3.55,10.0,2720.0,1.0,1.0,1.0,13051.470588235294,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,31.465334,74.3801628
