,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
1213,0.6,163.35,,19.0,5.0,5.0,2.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,52035.506580961126,0.85,New Property
1215,4.4,1197.9,,,5.0,5.0,1.0,1.0,,Gulberg,92,1,1,1,0,0,0,0,1,0,0,35896.15159863093,4.3,Undefined
1216,0.9,245.025,19.0,19.0,6.0,6.0,2.0,1.0,1.0,Gulberg,126,1,1,1,1,1,1,1,1,1,1,40812.16202428324,1.0,Under construction
1219,3.1,843.975,,,4.0,5.0,1.0,1.0,1.0,Gulberg,118,1,1,1,1,1,1,1,1,1,1,47394.76880239343,4.0,New Property
1221,2.0,544.5,,,5.0,6.0,2.0,2.0,2.0,Gulberg,50,0,0,0,0,0,0,0,0,0,0,50505.0505050505,2.75,Undefined
1228,1.3,353.925,,,,,,,,Gulberg,84,1,1,1,1,1,0,0,0,1,0,61029.87921169739,2.16,Undefined
1229,1.0,272.25,,,4.0,4.0,1.0,1.0,1.0,Gulberg,126,1,1,1,1,1,1,1,1,1,1,52525.25252525252,1.43,Under construction
1231,2.0,544.5,,32.0,5.0,5.0,2.0,1.0,,Gulberg,113,1,1,1,0,0,0,0,1,0,0,52341.59779614325,2.85,Undefined
1233,2.5,680.625,,,,,,,,PAF Falcon Complex,99,1,1,1,1,1,1,1,1,1,0,57006.42791551883,3.88,Undefined
1234,3.1,843.975,,14.0,2.0,2.0,,,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,53319.11490269261,4.5,New Property
1235,2.0,544.5,,,2.0,2.0,,,,Gulberg,117,1,1,1,1,1,1,1,1,1,0,52341.59779614325,2.85,Undefined
1236,2.0,544.5,,,,,,,,Gulberg,50,0,0,0,0,0,0,0,0,0,0,50505.0505050505,2.75,Undefined
1237,2.7,735.075,,,2.0,2.0,1.0,,1.0,Gulberg,69,1,1,1,0,0,0,0,0,0,0,48974.59442913988,3.6,New Property
1238,0.6,163.35,1.0,19.0,5.0,5.0,1.0,1.0,1.0,Gulberg,109,0,1,1,0,0,1,0,1,0,0,52035.506580961126,0.85,Moderately Old
1239,2.0,544.5,,32.0,4.0,4.0,1.0,1.0,1.0,Gulberg,113,1,1,1,0,0,0,0,1,0,0,107621.6712580349,5.86,Undefined
1240,4.6,1252.35,,,2.0,2.0,1.0,1.0,,Gulberg,133,1,1,1,1,1,1,1,1,1,1,36092.146764083525,4.52,New Property
1243,4.4,1197.9,,,7.0,8.0,3.0,1.0,1.0,Gulberg,128,1,1,1,1,1,1,1,1,0,1,35896.15159863093,4.3,New Property
1248,0.8,217.8,,19.0,2.0,3.0,1.0,1.0,,Gulberg,125,1,1,1,1,1,1,1,1,1,1,34090.90909090909,0.7425,Relatively New
1250,0.8,217.8,,,,,,1.0,1.0,Gulberg,137,1,1,1,1,1,1,1,1,1,1,35463.72819100092,0.7724,New Property
1252,0.4,108.9,,21.0,3.0,4.0,2.0,1.0,1.0,Gulberg,114,1,1,1,1,1,1,0,1,1,0,36730.94582185491,0.4,Undefined
1257,0.6,163.35,,,5.0,5.0,,,,Gulberg,110,0,1,1,1,0,1,1,1,1,0,42852.7701254974,0.7,Undefined
1263,2.0,544.5,33.0,3.0,3.0,4.0,2.0,1.0,1.0,Gulberg,100,1,1,0,0,1,1,1,0,0,1,64279.1551882461,3.5,New Property
1273,0.9,245.025,,19.0,2.0,2.0,2.0,,,Gulberg,123,1,1,1,1,1,1,1,1,1,1,36730.94582185491,0.9,Under construction
1280,2.0,544.5,21.0,33.0,6.0,6.0,1.0,1.0,1.0,Gulberg,46,0,0,0,0,0,0,0,0,0,0,45913.68227731864,2.5,Under construction
1286,3.4,925.65,19.0,33.0,3.0,4.0,2.0,1.0,,Gulberg,126,0,0,0,0,0,0,0,1,0,0,37811.26775779182,3.5,Under construction
1295,2.5,680.625,,11.0,1.0,1.0,1.0,1.0,,Gulberg,50,0,0,1,1,0,1,0,1,0,0,35555.555555555555,2.42,Under construction
1298,1.8,490.05,,11.0,,,,1.0,,Gulberg,87,0,0,0,0,0,0,0,0,0,0,41424.344454647486,2.03,New Property
1300,2.1,571.725,,33.0,5.0,7.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,52122.9612138703,2.98,Under construction
1306,2.8,762.3,,,1.0,1.0,1.0,,,Gulberg,133,1,1,1,1,1,1,1,1,1,1,39748.13065722157,3.03,New Property
1311,0.5,136.125,2.0,7.0,,,,,,Gulberg,133,1,1,1,1,1,1,1,1,1,1,44077.13498622589,0.6,Under construction
1312,2.0,544.5,23.0,33.0,6.0,6.0,2.0,,2.0,PAF Falcon Complex,133,1,1,1,1,1,1,1,1,1,0,53259.871441689625,2.9,Under construction
