bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,3.0,3.8,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,107.0,22,3.0,Undefined,0,1
3.0,3.0,4.25,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,107.0,22,3.0,Undefined,0,1
3.0,3.0,2.25,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,1,0,76.0,16,1.0,Old Property,0,1
3.0,3.0,3.15,3019.2,1.0,1.0,1,1,1,1,1,1,1,1,1,1,172.0,49,7.0,Relatively New,0,1
4.0,5.0,4.79,3563.2,1.0,1.0,1,1,1,1,1,1,1,1,1,0,172.0,49,6.0,New Property,0,1
3.0,4.0,3.45,2720.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,New Property,0,1
3.0,4.0,2.95,2720.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,140.0,18,2.0,New Property,0,1
3.0,3.0,3.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,Relatively New,0,1
3.0,3.0,2.75,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,5.0,Relatively New,0,1
3.0,3.0,2.85,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,67.0,13,3.0,Relatively New,0,1
4.0,5.0,4.85,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,168.0,49,7.0,New Property,0,1
3.0,3.0,4.5,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,166.0,39,0.0,New Property,0,1
3.0,4.0,4.45,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,165.0,37,0.0,New Property,0,1
4.0,5.0,4.9,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,152.0,37,2.0,New Property,0,1
4.0,5.0,4.65,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,123.0,18,3.0,New Property,0,1
3.0,4.0,4.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,176.0,39,4.0,Undefined,0,1
4.0,5.0,4.7,3536.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,159.0,49,3.0,Relatively New,0,1
3.0,4.0,2.85,2720.0,1.0,1.0,1,1,1,1,0,0,1,0,0,1,150.0,27,2.0,New Property,0,1
3.0,4.0,2.9,2720.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,129.0,18,3.0,New Property,0,1
3.0,3.0,4.15,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,168.0,49,6.0,New Property,0,1
3.0,3.0,4.15,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,174.0,49,6.0,New Property,0,1
3.0,4.0,2.85,2720.0,1.0,1.0,1,1,1,1,0,0,1,0,0,1,132.0,18,2.0,New Property,0,1
4.0,4.0,4.35,3264.0,2.0,0.0,1,1,1,0,0,0,0,0,0,0,71.0,0,3.0,Undefined,0,0
4.0,5.0,4.25,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,New Property,0,1
3.0,4.0,3.35,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,New Property,0,1
3.0,4.0,3.1,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
3.0,4.0,3.1,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,Moderately Old,0,1
3.0,4.0,2.5,2720.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,131.0,49,3.0,New Property,0,1
3.0,3.0,3.0,2992.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,168.0,39,1.0,Moderately Old,0,1
3.0,4.0,3.15,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,1.0,Relatively New,0,1
3.0,4.0,2.75,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,147.0,49,3.0,Undefined,0,1
3.0,4.0,5.3,3046.4,1.0,2.0,1,1,1,1,1,1,1,1,1,1,167.0,49,2.0,New Property,0,1
4.0,5.0,5.22,3536.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,172.0,49,3.0,New Property,0,1
4.0,5.0,5.05,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,173.0,39,3.0,New Property,0,1
3.0,4.0,4.35,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,156.0,39,3.0,Relatively New,0,1
4.0,5.0,4.47,3536.0,1.0,1.0,1,1,1,1,1,1,1,0,0,0,135.0,37,7.0,New Property,0,1
4.0,5.0,4.75,3536.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,146.0,37,3.0,New Property,0,1
4.0,5.0,5.15,3536.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,7.0,New Property,0,1
4.0,5.0,5.05,3672.0,1.0,1.0,1,1,1,1,1,1,1,0,1,0,172.0,39,1.0,New Property,0,1
3.0,4.0,4.05,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,154.0,37,6.0,New Property,0,1
3.0,4.0,3.5,2883.2,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
3.0,3.0,2.6,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,39,1.0,Undefined,0,1
3.0,3.0,2.45,2720.0,1.0,1.0,1,1,1,1,1,1,1,0,0,1,176.0,39,1.0,New Property,0,1
